username,created_at(UTC),retweet_count,reply_count,like_count,quote_count,impression_count,text
ZagWBB,3/29/23 19:57,8,3,154,1,4186,Thanks for an incredible season. ❤️💙 https://t.co/3fNFwcCyhR
ZagWBB,3/22/23 15:28,9,1,128,2,5768,Yvonne Ejim and Kaylynne Truong have been tabbed Region Finalists for WBCA Coaches' All-America 🤩  📰: https://t.co/2BVY5BIveI https://t.co/nWpCMhKgdO
ZagWBB,3/18/23 4:07,30,15,392,10,20308,Thank you for a great season Zag Nation ❤️💙 https://t.co/pvAnhZJOT5
ZagWBB,3/18/23 3:44,2,1,57,0,3439,Yvonne and 1 ‼️ https://t.co/OKOtBYvC3Z
ZagWBB,3/18/23 3:30,8,0,0,0,0,RT @MarchMadnessWBB: No access? No problem for @Twinballerz   #MarchMadness x @ZagWBB https://t.co/3LQiT3VadS
ZagWBB,3/18/23 3:21,2,0,38,0,2632,KK with the lay 🔥 https://t.co/tNoD3ZPptD
ZagWBB,3/18/23 3:09,2,2,47,1,4597,https://t.co/tYm8nrmKFo
ZagWBB,3/18/23 2:45,6,0,0,0,0,RT @WCChoops: 🔒in #WCChoops  @ZagWBB | #MarchMadness https://t.co/7h3A5oIaHY
ZagWBB,3/18/23 2:44,6,0,0,0,0,RT @MarchMadnessWBB: Heatin’ up in Cali   #MarchMadness https://t.co/sq2coCpMc2
ZagWBB,3/18/23 2:38,4,0,58,0,1654,Battling early 💪 https://t.co/7CZXGU6cOB
ZagWBB,11/11/22 2:39,5,0,91,1,0,All smiles here in the Kennel 😄 https://t.co/IPZJMHDOGu
ZagWBB,11/10/22 21:38,1,0,0,0,0,RT @SkullSparks: Countdown @ZagWBB https://t.co/2sw0O1vtfN
ZagWBB,11/10/22 17:04,6,2,66,3,0,"The real thing starts tonight. 🙌  🆚 Long Beach State 📍 Spokane, WA ⏰ 7:30 p.m. 📊 Live Stats: https://t.co/SY84UVJGME 🎥 Live Stream: https://t.co/dp7DxwJR8l 📺 TV: SWX  #GoZags https://t.co/amxu8KoosN"
ZagWBB,11/10/22 16:33,6,3,69,0,0,It’s GAMEDAY!! 🙌 https://t.co/mrSgHsRrrt
